CMDLINE python3 Phase1-InitialTrain.py
MEM 3.515625 1595425116.5866
MEM 10.964844 1595425116.6874
MEM 16.472656 1595425116.7881
MEM 20.343750 1595425116.8891
MEM 28.335938 1595425116.9899
MEM 32.136719 1595425117.0905
MEM 35.800781 1595425117.1912
MEM 39.582031 1595425117.2921
MEM 44.035156 1595425117.3925
MEM 47.746094 1595425117.4934
MEM 51.617188 1595425117.5940
MEM 54.750000 1595425117.6970
MEM 58.566406 1595425117.7988
MEM 59.507812 1595425117.9003
MEM 61.628906 1595425118.0018
MEM 64.992188 1595425118.1029
MEM 69.242188 1595425118.2036
MEM 73.160156 1595425118.3042
MEM 77.296875 1595425118.4048
MEM 82.074219 1595425118.5054
MEM 85.621094 1595425118.6062
MEM 88.656250 1595425118.7070
MEM 90.878906 1595425118.8082
MEM 91.875000 1595425118.9102
MEM 94.531250 1595425119.0112
MEM 104.519531 1595425119.1123
MEM 116.281250 1595425119.2127
MEM 126.554688 1595425119.3151
MEM 154.578125 1595425119.4156
MEM 178.039062 1595425119.5162
MEM 178.039062 1595425119.6167
MEM 178.039062 1595425119.7172
MEM 178.039062 1595425119.8176
MEM 178.039062 1595425119.9182
MEM 178.039062 1595425120.0188
MEM 178.039062 1595425120.1194
MEM 178.039062 1595425120.2200
MEM 180.617188 1595425120.3206
MEM 180.617188 1595425120.4212
MEM 180.617188 1595425120.5218
MEM 190.992188 1595425120.6225
MEM 203.562500 1595425120.7231
MEM 204.078125 1595425120.8242
MEM 204.335938 1595425120.9246
MEM 204.851562 1595425121.0251
MEM 205.109375 1595425121.1256
MEM 205.109375 1595425121.2261
MEM 205.109375 1595425121.3268
MEM 206.136719 1595425121.4274
MEM 206.136719 1595425121.5280
MEM 206.910156 1595425121.6286
MEM 206.910156 1595425121.7315
MEM 211.933594 1595425121.8320
MEM 218.246094 1595425121.9324
MEM 225.527344 1595425122.0330
MEM 225.527344 1595425122.1336
MEM 227.527344 1595425122.2342
MEM 227.527344 1595425122.3348
MEM 227.527344 1595425122.4355
MEM 227.527344 1595425122.5360
MEM 228.042969 1595425122.6367
MEM 228.042969 1595425122.7373
MEM 228.042969 1595425122.8379
MEM 228.558594 1595425122.9385
MEM 228.558594 1595425123.0391
MEM 231.652344 1595425123.1402
MEM 234.679688 1595425123.2407
MEM 242.339844 1595425123.3411
MEM 242.339844 1595425123.4415
MEM 242.597656 1595425123.5422
MEM 242.597656 1595425123.6429
MEM 242.597656 1595425123.7434
MEM 242.597656 1595425123.8440
MEM 243.371094 1595425123.9446
MEM 243.371094 1595425124.0452
MEM 243.371094 1595425124.1458
MEM 243.371094 1595425124.2465
MEM 243.371094 1595425124.3471
MEM 250.972656 1595425124.4477
MEM 254.000000 1595425124.5481
MEM 258.574219 1595425124.6489
MEM 258.574219 1595425124.7495
MEM 258.574219 1595425124.8501
MEM 258.574219 1595425124.9507
MEM 258.574219 1595425125.0514
MEM 258.574219 1595425125.1520
MEM 258.574219 1595425125.2526
MEM 259.605469 1595425125.3532
MEM 260.121094 1595425125.4538
MEM 260.121094 1595425125.5544
MEM 264.437500 1595425125.6550
MEM 273.714844 1595425125.7556
MEM 273.714844 1595425125.8562
MEM 278.480469 1595425125.9569
MEM 278.738281 1595425126.0575
MEM 278.738281 1595425126.1581
MEM 278.738281 1595425126.2588
MEM 278.738281 1595425126.3593
MEM 278.738281 1595425126.4599
MEM 278.738281 1595425126.5605
MEM 278.738281 1595425126.6612
MEM 278.738281 1595425126.7618
MEM 283.570312 1595425126.8644
MEM 283.570312 1595425126.9649
MEM 294.003906 1595425127.0655
MEM 298.578125 1595425127.1661
MEM 298.578125 1595425127.2668
MEM 298.835938 1595425127.3674
MEM 298.835938 1595425127.4680
MEM 298.835938 1595425127.5686
MEM 298.835938 1595425127.6692
MEM 299.093750 1595425127.7698
MEM 299.093750 1595425127.8704
MEM 299.351562 1595425127.9711
MEM 299.351562 1595425128.0717
MEM 304.117188 1595425128.1723
MEM 308.886719 1595425128.2757
MEM 313.652344 1595425128.3764
MEM 313.652344 1595425128.4771
MEM 318.226562 1595425128.5777
MEM 318.226562 1595425128.6783
MEM 318.484375 1595425128.7789
MEM 318.484375 1595425128.8795
MEM 318.484375 1595425128.9801
MEM 318.484375 1595425129.0807
