CMDLINE python3 Phase1-InitialTrain.py
MEM 3.578125 1595423887.2607
MEM 11.152344 1595423887.3614
MEM 16.824219 1595423887.4623
MEM 20.683594 1595423887.5634
MEM 28.601562 1595423887.6643
MEM 33.027344 1595423887.7652
MEM 36.218750 1595423887.8664
MEM 40.625000 1595423887.9669
MEM 44.613281 1595423888.0676
MEM 47.964844 1595423888.1688
MEM 51.945312 1595423888.2698
MEM 56.261719 1595423888.3705
MEM 58.796875 1595423888.4729
MEM 59.980469 1595423888.5760
MEM 62.519531 1595423888.6766
MEM 66.054688 1595423888.7770
MEM 70.550781 1595423888.8778
MEM 74.339844 1595423888.9787
MEM 79.984375 1595423889.0792
MEM 83.269531 1595423889.1805
MEM 87.445312 1595423889.2818
MEM 90.378906 1595423889.3826
MEM 91.843750 1595423889.4843
MEM 94.390625 1595423889.5856
MEM 111.050781 1595423889.6881
MEM 122.000000 1595423889.7894
MEM 128.316406 1595423889.8923
MEM 158.207031 1595423889.9930
MEM 177.800781 1595423890.0934
MEM 177.800781 1595423890.1939
MEM 177.800781 1595423890.3033
MEM 177.800781 1595423890.4037
MEM 177.800781 1595423890.5043
MEM 177.800781 1595423890.6049
MEM 177.800781 1595423890.7055
MEM 177.800781 1595423890.8061
MEM 181.410156 1595423890.9067
MEM 181.410156 1595423891.0074
MEM 187.464844 1595423891.1079
MEM 193.777344 1595423891.2086
MEM 204.167969 1595423891.3093
MEM 205.199219 1595423891.4098
MEM 205.199219 1595423891.5104
MEM 207.261719 1595423891.6111
MEM 207.519531 1595423891.7121
MEM 207.519531 1595423891.8126
MEM 207.519531 1595423891.9130
MEM 207.519531 1595423892.0135
MEM 207.519531 1595423892.1141
MEM 208.292969 1595423892.2147
MEM 208.292969 1595423892.3154
MEM 213.125000 1595423892.4182
MEM 219.179688 1595423892.5185
MEM 225.234375 1595423892.6196
MEM 229.492188 1595423892.7202
MEM 229.492188 1595423892.8207
MEM 229.492188 1595423892.9211
MEM 229.492188 1595423893.0216
MEM 229.750000 1595423893.1222
