CMDLINE python3 Phase1-InitialTrain.py
MEM 3.503906 1595424355.2266
MEM 11.109375 1595424355.3270
MEM 16.750000 1595424355.4274
MEM 20.597656 1595424355.5286
MEM 28.640625 1595424355.6294
MEM 32.492188 1595424355.7316
MEM 36.269531 1595424355.8323
MEM 40.007812 1595424355.9340
MEM 44.546875 1595424356.0344
MEM 48.089844 1595424356.1353
MEM 52.023438 1595424356.2362
MEM 56.234375 1595424356.3376
MEM 58.859375 1595424356.4403
MEM 59.800781 1595424356.5427
MEM 62.132812 1595424356.6433
MEM 65.671875 1595424356.7438
MEM 70.230469 1595424356.8447
MEM 73.847656 1595424356.9493
MEM 79.417969 1595424357.0497
MEM 82.871094 1595424357.1513
MEM 87.566406 1595424357.2519
MEM 90.140625 1595424357.3533
MEM 91.558594 1595424357.4568
MEM 94.363281 1595424357.5614
MEM 110.871094 1595424357.6689
MEM 119.906250 1595424357.7707
MEM 126.187500 1595424357.8712
MEM 157.820312 1595424357.9739
MEM 177.671875 1595424358.0744
MEM 177.671875 1595424358.1749
MEM 177.671875 1595424358.2754
MEM 177.671875 1595424358.3759
MEM 177.671875 1595424358.4765
MEM 177.671875 1595424358.5771
MEM 177.671875 1595424358.6776
MEM 177.671875 1595424358.7783
MEM 179.992188 1595424358.8789
MEM 179.992188 1595424358.9795
MEM 179.992188 1595424359.0801
MEM 187.789062 1595424359.1807
MEM 198.562500 1595424359.2818
MEM 200.367188 1595424359.3822
MEM 200.882812 1595424359.4826
MEM 200.882812 1595424359.5832
MEM 200.882812 1595424359.6838
MEM 200.882812 1595424359.7844
MEM 200.882812 1595424359.8850
MEM 200.882812 1595424359.9856
MEM 203.199219 1595424360.0862
MEM 204.484375 1595424360.1868
MEM 204.484375 1595424360.2874
MEM 207.511719 1595424360.3924
MEM 213.566406 1595424360.4928
MEM 224.199219 1595424360.5936
MEM 226.199219 1595424360.6941
MEM 226.199219 1595424360.7949
MEM 226.199219 1595424360.8955
MEM 226.457031 1595424360.9960
MEM 226.457031 1595424361.0965
MEM 226.714844 1595424361.1973
MEM 226.972656 1595424361.2979
MEM 227.488281 1595424361.3986
MEM 227.488281 1595424361.4991
MEM 227.488281 1595424361.5995
MEM 230.582031 1595424361.7000
MEM 240.753906 1595424361.8010
MEM 240.753906 1595424361.9016
MEM 244.039062 1595424362.0022
MEM 244.039062 1595424362.1027
MEM 244.039062 1595424362.2031
MEM 244.039062 1595424362.3036
MEM 244.039062 1595424362.4042
MEM 244.812500 1595424362.5048
MEM 244.812500 1595424362.6059
MEM 244.812500 1595424362.7063
MEM 244.812500 1595424362.8066
MEM 244.812500 1595424362.9073
MEM 249.582031 1595424363.0079
MEM 257.183594 1595424363.1085
MEM 262.273438 1595424363.2091
MEM 262.273438 1595424363.3097
MEM 262.273438 1595424363.4103
MEM 262.273438 1595424363.5109
MEM 262.273438 1595424363.6115
MEM 262.273438 1595424363.7122
MEM 262.273438 1595424363.8128
MEM 262.789062 1595424363.9134
MEM 262.789062 1595424364.0140
MEM 262.789062 1595424364.1146
MEM 262.789062 1595424364.2152
MEM 276.636719 1595424364.3159
