CMDLINE python3 Phase1-InitialTrain.py
MEM 3.437500 1595424663.1074
MEM 10.757812 1595424663.2080
MEM 16.523438 1595424663.3088
MEM 20.195312 1595424663.4098
MEM 27.941406 1595424663.5112
MEM 31.742188 1595424663.6127
MEM 35.921875 1595424663.7131
MEM 40.488281 1595424663.8137
MEM 46.031250 1595424663.9142
MEM 49.578125 1595424664.0149
MEM 53.203125 1595424664.1155
MEM 58.289062 1595424664.2171
MEM 59.058594 1595424664.3187
MEM 60.003906 1595424664.4202
MEM 63.558594 1595424664.5211
MEM 67.332031 1595424664.6214
MEM 70.980469 1595424664.7226
MEM 74.722656 1595424664.8234
MEM 79.902344 1595424664.9243
MEM 83.253906 1595424665.0250
MEM 87.675781 1595424665.1262
MEM 90.339844 1595424665.2274
MEM 91.792969 1595424665.3285
MEM 94.472656 1595424665.4288
MEM 102.660156 1595424665.5307
MEM 116.171875 1595424665.6313
MEM 126.546875 1595424665.7320
MEM 148.125000 1595424665.8325
