CMDLINE python3 Phase1-InitialTrain.py
MEM 5.734375 1595424766.4510
MEM 13.761719 1595424766.5514
MEM 18.921875 1595424766.6518
MEM 29.324219 1595424766.7526
MEM 34.843750 1595424766.8533
MEM 38.640625 1595424766.9542
MEM 44.820312 1595424767.0546
MEM 49.562500 1595424767.1549
MEM 53.394531 1595424767.2557
MEM 58.378906 1595424767.3566
MEM 59.140625 1595424767.4581
MEM 60.089844 1595424767.5587
MEM 64.191406 1595424767.6593
MEM 68.863281 1595424767.7598
MEM 73.351562 1595424767.8605
MEM 78.859375 1595424767.9609
MEM 83.304688 1595424768.0614
MEM 87.937500 1595424768.1628
MEM 90.988281 1595424768.2645
MEM 93.195312 1595424768.3655
MEM 95.796875 1595424768.4662
MEM 123.722656 1595424768.5672
MEM 140.183594 1595424768.6677
MEM 177.824219 1595424768.7683
MEM 177.824219 1595424768.8689
MEM 177.824219 1595424768.9700
MEM 177.824219 1595424769.0705
MEM 177.824219 1595424769.1710
MEM 177.824219 1595424769.2714
MEM 177.824219 1595424769.3719
MEM 177.824219 1595424769.4725
MEM 180.285156 1595424769.5732
MEM 180.285156 1595424769.6743
MEM 184.796875 1595424769.7747
MEM 191.175781 1595424769.8755
MEM 198.972656 1595424769.9760
MEM 199.488281 1595424770.0765
MEM 201.292969 1595424770.1771
MEM 201.292969 1595424770.2774
MEM 201.292969 1595424770.3781
MEM 201.292969 1595424770.4787
MEM 201.292969 1595424770.5793
MEM 202.062500 1595424770.6799
MEM 203.089844 1595424770.7805
MEM 203.089844 1595424770.8812
MEM 203.089844 1595424770.9818
MEM 214.234375 1595424771.0824
MEM 226.605469 1595424771.1830
MEM 227.117188 1595424771.2837
MEM 227.117188 1595424771.3842
MEM 227.117188 1595424771.4848
MEM 227.632812 1595424771.5876
MEM 227.632812 1595424771.6880
MEM 228.148438 1595424771.7886
MEM 228.667969 1595424771.8893
MEM 228.667969 1595424771.9899
MEM 228.667969 1595424772.0905
MEM 228.667969 1595424772.1911
MEM 228.667969 1595424772.2917
MEM 236.785156 1595424772.3923
MEM 244.710938 1595424772.4928
MEM 244.710938 1595424772.5935
MEM 244.710938 1595424772.6946
MEM 244.710938 1595424772.7951
MEM 244.710938 1595424772.8957
MEM 244.710938 1595424772.9961
MEM 244.710938 1595424773.0966
MEM 244.710938 1595424773.1972
MEM 245.226562 1595424773.2978
MEM 245.742188 1595424773.3985
MEM 245.742188 1595424773.4990
MEM 245.742188 1595424773.5996
MEM 262.554688 1595424773.7003
MEM 264.554688 1595424773.8009
MEM 264.554688 1595424773.9015
MEM 264.554688 1595424774.0021
MEM 264.554688 1595424774.1027
MEM 264.554688 1595424774.2034
MEM 264.554688 1595424774.3039
MEM 264.554688 1595424774.4046
MEM 264.554688 1595424774.5052
MEM 264.554688 1595424774.6057
MEM 264.554688 1595424774.7064
MEM 264.554688 1595424774.8070
MEM 279.046875 1595424774.9074
MEM 279.046875 1595424775.0079
MEM 284.132812 1595424775.1085
MEM 284.132812 1595424775.2090
MEM 284.132812 1595424775.3096
MEM 284.132812 1595424775.4103
MEM 284.132812 1595424775.5108
MEM 284.132812 1595424775.6114
MEM 284.390625 1595424775.7120
MEM 284.390625 1595424775.8201
MEM 284.390625 1595424775.9205
MEM 289.414062 1595424776.0211
MEM 289.414062 1595424776.1217
MEM 298.753906 1595424776.2224
MEM 304.292969 1595424776.3229
MEM 304.292969 1595424776.4233
MEM 304.292969 1595424776.5238
MEM 304.292969 1595424776.6244
MEM 304.292969 1595424776.7285
MEM 304.292969 1595424776.8290
MEM 304.292969 1595424776.9295
MEM 304.292969 1595424777.0298
MEM 304.292969 1595424777.1304
MEM 304.292969 1595424777.2310
MEM 308.867188 1595424777.3317
MEM 308.867188 1595424777.4323
MEM 318.207031 1595424777.5328
MEM 318.207031 1595424777.6334
MEM 323.039062 1595424777.7341
MEM 323.039062 1595424777.8347
MEM 323.039062 1595424777.9353
MEM 323.039062 1595424778.0360
MEM 323.039062 1595424778.1366
MEM 323.039062 1595424778.2372
MEM 323.039062 1595424778.3378
MEM 327.871094 1595424778.4384
MEM 327.871094 1595424778.5395
MEM 327.871094 1595424778.6400
MEM 327.871094 1595424778.7404
MEM 337.277344 1595424778.8408
MEM 337.277344 1595424778.9414
MEM 342.046875 1595424779.0420
MEM 342.046875 1595424779.1427
MEM 342.046875 1595424779.2432
MEM 342.046875 1595424779.3438
MEM 342.046875 1595424779.4445
MEM 342.046875 1595424779.5451
MEM 342.046875 1595424779.6457
MEM 346.812500 1595424779.7463
MEM 346.812500 1595424779.8469
MEM 346.812500 1595424779.9475
MEM 346.812500 1595424780.0482
MEM 356.605469 1595424780.1487
MEM 356.605469 1595424780.2494
MEM 360.402344 1595424780.3500
MEM 361.433594 1595424780.4506
MEM 361.433594 1595424780.5512
MEM 361.433594 1595424780.6518
MEM 361.433594 1595424780.7524
MEM 361.433594 1595424780.8530
MEM 361.433594 1595424780.9537
MEM 366.265625 1595424781.0543
MEM 366.265625 1595424781.1549
MEM 366.265625 1595424781.2555
MEM 371.351562 1595424781.3561
MEM 376.183594 1595424781.4567
MEM 380.757812 1595424781.5573
MEM 380.757812 1595424781.6580
MEM 380.757812 1595424781.7585
MEM 380.757812 1595424781.8627
MEM 380.757812 1595424781.9632
MEM 380.757812 1595424782.0636
MEM 380.757812 1595424782.1640
MEM 380.757812 1595424782.2645
MEM 383.777344 1595424782.3652
MEM 383.777344 1595424782.4658
MEM 386.863281 1595424782.5664
MEM 392.136719 1595424782.6670
MEM 397.414062 1595424782.7676
MEM 397.414062 1595424782.8682
MEM 397.414062 1595424782.9688
MEM 397.414062 1595424783.0694
MEM 397.414062 1595424783.1701
MEM 397.414062 1595424783.2707
MEM 402.695312 1595424783.3713
MEM 402.695312 1595424783.4719
MEM 402.695312 1595424783.5725
MEM 402.695312 1595424783.6731
MEM 407.976562 1595424783.7737
MEM 407.976562 1595424783.8743
MEM 407.976562 1595424783.9754
MEM 411.125000 1595424784.0759
MEM 416.375000 1595424784.1767
MEM 416.375000 1595424784.2773
MEM 416.375000 1595424784.3784
MEM 416.375000 1595424784.4795
MEM 416.375000 1595424784.5806
MEM 421.406250 1595424784.6812
MEM 421.406250 1595424784.7828
MEM 421.406250 1595424784.8839
MEM 421.406250 1595424784.9846
MEM 426.179688 1595424785.0851
MEM 424.996094 1595424785.1857
MEM 424.980469 1595424785.2867
MEM 431.628906 1595424785.3876
MEM 435.722656 1595424785.4882
MEM 435.945312 1595424785.5888
MEM 439.968750 1595424785.6892
MEM 439.968750 1595424785.7896
MEM 439.968750 1595424785.8902
MEM 439.968750 1595424785.9909
MEM 439.968750 1595424786.0915
MEM 439.968750 1595424786.1921
MEM 439.968750 1595424786.2926
MEM 439.968750 1595424786.3933
MEM 439.968750 1595424786.4943
MEM 439.968750 1595424786.5948
MEM 439.968750 1595424786.6952
MEM 439.968750 1595424786.7962
MEM 439.968750 1595424786.8967
MEM 439.968750 1595424787.0007
MEM 439.968750 1595424787.1021
MEM 439.968750 1595424787.2026
MEM 439.968750 1595424787.3030
MEM 439.968750 1595424787.4034
MEM 439.968750 1595424787.5039
MEM 439.968750 1595424787.6046
MEM 439.968750 1595424787.7052
MEM 451.855469 1595424787.8058
MEM 456.402344 1595424787.9064
MEM 459.238281 1595424788.0070
MEM 464.585938 1595424788.1076
MEM 464.585938 1595424788.2082
MEM 464.585938 1595424788.3088
MEM 464.585938 1595424788.4095
MEM 464.585938 1595424788.5105
MEM 464.585938 1595424788.6110
MEM 464.585938 1595424788.7148
MEM 467.421875 1595424788.8153
MEM 472.511719 1595424788.9158
MEM 479.214844 1595424789.0162
MEM 479.214844 1595424789.1167
MEM 479.214844 1595424789.2173
MEM 479.214844 1595424789.3179
MEM 479.214844 1595424789.4185
MEM 479.214844 1595424789.5191
MEM 479.214844 1595424789.6213
MEM 482.242188 1595424789.7216
MEM 489.718750 1595424789.8220
MEM 489.718750 1595424789.9226
MEM 489.718750 1595424790.0232
MEM 489.718750 1595424790.1238
MEM 489.718750 1595424790.2244
MEM 489.718750 1595424790.3250
MEM 489.718750 1595424790.4256
MEM 489.718750 1595424790.5262
MEM 494.550781 1595424790.6268
MEM 498.933594 1595424790.7274
MEM 498.933594 1595424790.8281
MEM 498.933594 1595424790.9287
MEM 498.933594 1595424791.0293
MEM 498.933594 1595424791.1299
MEM 498.933594 1595424791.2305
MEM 498.933594 1595424791.3311
MEM 501.769531 1595424791.4328
MEM 508.761719 1595424791.5333
MEM 511.597656 1595424791.6339
MEM 511.597656 1595424791.7345
MEM 511.597656 1595424791.8351
MEM 511.597656 1595424791.9358
MEM 511.597656 1595424792.0364
MEM 511.597656 1595424792.1379
MEM 511.597656 1595424792.2386
MEM 514.691406 1595424792.3392
MEM 521.847656 1595424792.4398
MEM 524.679688 1595424792.5404
MEM 524.679688 1595424792.6411
MEM 524.679688 1595424792.7417
MEM 524.679688 1595424792.8422
MEM 524.679688 1595424792.9429
MEM 524.679688 1595424793.0435
MEM 524.679688 1595424793.1441
MEM 524.679688 1595424793.2447
MEM 532.863281 1595424793.3453
MEM 537.953125 1595424793.4459
MEM 537.953125 1595424793.5466
MEM 537.953125 1595424793.6472
MEM 537.953125 1595424793.7478
MEM 537.953125 1595424793.8484
MEM 537.953125 1595424793.9490
MEM 546.136719 1595424794.0496
MEM 546.136719 1595424794.1502
MEM 549.230469 1595424794.2508
MEM 549.230469 1595424794.3514
MEM 549.230469 1595424794.4522
MEM 549.230469 1595424794.5527
MEM 549.230469 1595424794.6533
MEM 549.230469 1595424794.7539
MEM 549.230469 1595424794.8545
MEM 552.000000 1595424794.9551
MEM 554.062500 1595424795.0557
MEM 560.507812 1595424795.1563
MEM 560.507812 1595424795.2569
MEM 560.507812 1595424795.3576
MEM 560.507812 1595424795.4582
MEM 560.507812 1595424795.5588
MEM 560.507812 1595424795.6594
MEM 563.343750 1595424795.7605
MEM 565.855469 1595424795.8609
MEM 570.238281 1595424795.9614
MEM 573.074219 1595424796.0619
MEM 573.074219 1595424796.1624
MEM 573.074219 1595424796.2631
MEM 573.074219 1595424796.3637
MEM 573.074219 1595424796.4643
MEM 573.074219 1595424796.5649
MEM 575.839844 1595424796.6655
MEM 582.800781 1595424796.7666
MEM 582.800781 1595424796.8683
MEM 585.828125 1595424796.9688
MEM 585.828125 1595424797.0693
MEM 585.828125 1595424797.1696
MEM 585.828125 1595424797.2738
MEM 585.828125 1595424797.3783
MEM 588.406250 1595424797.4787
MEM 592.789062 1595424797.5798
MEM 592.789062 1595424797.6805
MEM 598.652344 1595424797.7811
MEM 598.652344 1595424797.8823
MEM 598.652344 1595424797.9826
MEM 598.652344 1595424798.0834
MEM 598.652344 1595424798.1840
MEM 600.972656 1595424798.2846
MEM 600.992188 1595424798.3995
MEM 632.894531 1595424798.5006
MEM 646.187500 1595424798.6022
MEM 646.187500 1595424798.7029
MEM 646.187500 1595424798.8034
MEM 646.187500 1595424798.9040
MEM 646.519531 1595424799.0139
MEM 644.523438 1595424799.1162
MEM 631.558594 1595424799.2168
MEM 562.917969 1595424799.3173
MEM 562.917969 1595424799.4177
MEM 562.917969 1595424799.5186
MEM 562.917969 1595424799.6190
MEM 562.917969 1595424799.7195
MEM 562.917969 1595424799.8200
MEM 562.917969 1595424799.9206
MEM 562.917969 1595424800.0212
MEM 562.917969 1595424800.1216
MEM 562.917969 1595424800.2225
MEM 562.917969 1595424800.3230
MEM 562.917969 1595424800.4237
MEM 562.917969 1595424800.5242
MEM 562.917969 1595424800.6249
MEM 562.917969 1595424800.7255
MEM 562.917969 1595424800.8261
MEM 562.917969 1595424800.9266
MEM 562.917969 1595424801.0273
MEM 562.917969 1595424801.1279
MEM 562.917969 1595424801.2286
MEM 562.917969 1595424801.3292
MEM 562.917969 1595424801.4298
MEM 562.917969 1595424801.5304
MEM 562.917969 1595424801.6310
MEM 562.917969 1595424801.7316
MEM 562.917969 1595424801.8322
MEM 562.917969 1595424801.9328
MEM 562.917969 1595424802.0335
MEM 562.917969 1595424802.1341
MEM 562.917969 1595424802.2347
MEM 562.917969 1595424802.3353
MEM 562.917969 1595424802.4402
MEM 562.917969 1595424802.5407
MEM 562.917969 1595424802.6411
MEM 562.917969 1595424802.7416
MEM 562.917969 1595424802.8423
MEM 562.917969 1595424802.9429
MEM 562.917969 1595424803.0436
MEM 562.917969 1595424803.1441
MEM 562.917969 1595424803.2447
MEM 562.917969 1595424803.3453
MEM 568.261719 1595424803.4459
MEM 570.582031 1595424803.5465
MEM 577.734375 1595424803.6472
MEM 577.734375 1595424803.7478
MEM 577.734375 1595424803.8484
MEM 577.734375 1595424803.9490
MEM 577.734375 1595424804.0496
MEM 577.734375 1595424804.1502
MEM 583.082031 1595424804.2508
MEM 583.082031 1595424804.3514
MEM 585.917969 1595424804.4520
MEM 585.917969 1595424804.5527
MEM 585.917969 1595424804.6533
MEM 585.917969 1595424804.7539
MEM 585.917969 1595424804.8545
MEM 585.917969 1595424804.9551
MEM 585.917969 1595424805.0557
MEM 585.917969 1595424805.1563
MEM 599.000000 1595424805.2569
MEM 599.000000 1595424805.3576
MEM 599.000000 1595424805.4586
MEM 599.000000 1595424805.5591
MEM 599.000000 1595424805.6595
MEM 599.000000 1595424805.7600
MEM 599.000000 1595424805.8607
MEM 599.000000 1595424805.9613
MEM 601.578125 1595424806.0619
MEM 606.992188 1595424806.1625
MEM 606.992188 1595424806.2631
MEM 606.992188 1595424806.3637
MEM 606.992188 1595424806.4644
MEM 606.992188 1595424806.5649
MEM 606.992188 1595424806.6654
MEM 612.082031 1595424806.7666
MEM 612.082031 1595424806.8671
MEM 614.917969 1595424806.9676
MEM 617.753906 1595424807.0680
MEM 617.753906 1595424807.1686
MEM 617.753906 1595424807.2692
MEM 617.753906 1595424807.3698
MEM 621.812500 1595424807.4704
MEM 622.070312 1595424807.5746
MEM 628.964844 1595424807.6783
MEM 629.996094 1595424807.7791
MEM 629.996094 1595424807.8797
MEM 629.996094 1595424807.9803
MEM 636.117188 1595424808.0810
MEM 636.117188 1595424808.1815
MEM 636.117188 1595424808.2826
MEM 636.117188 1595424808.3830
MEM 636.117188 1595424808.4834
MEM 641.207031 1595424808.5840
MEM 643.269531 1595424808.6846
MEM 643.269531 1595424808.7852
MEM 643.269531 1595424808.8858
MEM 645.332031 1595424808.9864
MEM 645.332031 1595424809.0870
MEM 645.332031 1595424809.1877
MEM 645.847656 1595424809.2883
MEM 651.710938 1595424809.3888
MEM 653.000000 1595424809.4895
MEM 653.000000 1595424809.5906
MEM 653.000000 1595424809.6910
MEM 656.007812 1595424809.7917
MEM 656.007812 1595424809.8920
MEM 656.007812 1595424809.9926
MEM 656.007812 1595424810.0946
MEM 656.007812 1595424810.1975
MEM 663.929688 1595424810.3032
MEM 675.359375 1595424810.4111
MEM 694.277344 1595424810.5116
MEM 694.523438 1595424810.6122
MEM 694.523438 1595424810.7128
MEM 694.523438 1595424810.8134
MEM 694.722656 1595424810.9176
MEM 694.687500 1595424811.0193
MEM 669.332031 1595424811.1197
MEM 673.128906 1595424811.2201
